Source,Category,Location (If Applicable),URL
Huisgenoot,Nuus,,https://www.netwerk24.com/huisgenoot
Isolezwe,News,,https://isolezwe.co.za/
Jeune Afrique,South Africa,,https://www.jeuneafrique.com/pays/afrique-du-sud/
Lowvelder,News,Mpumalanga,https://www.citizen.co.za/lowvelder/
Zululand Observer,News,KZN,https://www.citizen.co.za/zululand-observer/
The Newspaper,News,Western Cape,https://thenewspaper.co.za/
Pretoria News,News,Pretoria,https://pretorianews.co.za/
Public Eye News,News,,https://publiceyenews.com/category/news/
Rekord,News,Pretoria,https://www.citizen.co.za/rekord/
The Rep,News,Komani,https://www.therep.co.za/category/news/
Republikein,Nuus,,https://www.republikein.com.na/
Roodepoort Record,News,Roodepoort,https://www.citizen.co.za/roodepoort-record/
South Africa Today,News,,https://southafricatoday.net/
The South African,News,,https://www.thesouthafrican.com/news/
Sowetan Live,News,,https://www.sowetan.co.za/news/
The Star,News,Johannesburg,https://iol.co.za/the-star/
Sunday Tribune,News,Durban,https://sundaytribune.co.za/
Talk of the Town,News,Port Alfred,https://www.talkofthetown.co.za/category/news/
The Worldfolio,South Africa,,https://www.theworldfolio.com/south-africa
Ziwaphi,News,,https://www.ziwaphi.com/category/news/
George Herald,News,George,https://www.georgeherald.com/News
Kouga Express,News,Kouga,https://kougaexpress.co.za/news/
People's Post,News,Cape Town,https://peoplespost.co.za/news/
SABC News,South Africa,,https://www.sabcnews.com/sabcnews/south-africa/
Moneyweb,Data,,https://www.moneyweb.co.za/category/news/south-africa/
News.co.za,News,,https://news.co.za/south-africa/
Chevrah Kadisha,News (CJC),,https://cjc.org.za/
Table Talk,News,Cape Town,https://tabletalk.co.za/news/
Gemsbok,News,Upington,https://www.northwestnewspapers.co.za/gemsbok/
Lentswe,News,Klerksdorp,https://www.northwestnewspapers.co.za/lentswe/
Northwest Midweek,News,Rustenburg,https://www.northwestnewspapers.co.za/midweek/
Mafikeng Mail,News,Mafikeng,https://www.northwestnewspapers.co.za/mafikengmail/
Noordwester,Nuus,Lichtenburg,https://www.northwestnewspapers.co.za/noordwester/
Rustenburg Herald,News,Rustenburg,https://www.northwestnewspapers.co.za/herald/
Stellalander,Nuus,Vryburg,https://www.northwestnewspapers.co.za/stellalander/
TechCentral,News,,https://techcentral.co.za/category/news/
Mossel Bay Advertiser,News,Mossel Bay,https://www.mosselbayadvertiser.com/News/Top-Stories
MyBroadband,Tech,,https://mybroadband.co.za/news/
Ilanga,News,KZN,https://ilanganews.co.za/
Rapport,Nuus,,https://www.netwerk24.com/rapport
The Post,News,Durban,https://thepost.co.za/news/
Sunday Independent,News,,https://sundayindependent.co.za/
PE Express,News,Port Elizabeth,https://peexpress.co.za/news/
